Date,Name,Year,Letterboxd URI
2026-04-06,Apocalypse Now,1979,https://boxd.it/6ZS
2026-04-06,The NeverEnding Story,1984,https://boxd.it/1dE0
2026-04-06,Deep Red,1975,https://boxd.it/1E1E
2026-04-06,Avatar,2009,https://boxd.it/1Efm
2026-04-06,Sid and Nancy,1986,https://boxd.it/1N6e
2026-04-06,Coraline,2009,https://boxd.it/1NhQ
2026-04-06,Logan's Run,1976,https://boxd.it/1Vma
2026-04-06,Disturbia,2007,https://boxd.it/20rk
